"시점","항공사별",여객 (명)
"시점","항공사별",계
"2020.11","대한항공",920692
"2020.11","티웨이항공",993497
"2020.11","외항사",69751
"2020.12","아시아나항공",511217
"2020.12","제주항공",684627
"2020.12","진에어",541828
"2020.12","대한항공",569123
"2020.12","티웨이항공",584257
"2020.12","외항사",79554
"2021.01","아시아나항공",455927
"2021.01","제주항공",444353
"2021.01","진에어",583196
"2021.01","대한항공",519886
"2021.01","티웨이항공",423554
"2021.01","외항사",78109
"2021.02","아시아나항공",542892
"2021.02","제주항공",918482
"2021.02","진에어",952164
"2021.02","대한항공",661220
"2021.02","티웨이항공",740101
"2021.02","외항사",65278
"2021.03","아시아나항공",731272
"2021.03","제주항공",1060742
"2021.03","진에어",892157
"2021.03","대한항공",693688
"2021.03","티웨이항공",880432
"2021.03","외항사",72317
"2021.04","아시아나항공",894108
"2021.04","제주항공",1254285
"2021.04","진에어",1042230
"2021.04","대한항공",827561
"2021.04","티웨이항공",910527
"2021.04","외항사",71021
"2021.05","아시아나항공",950093
"2021.05","제주항공",1316107
"2021.05","진에어",1064404
"2021.05","대한항공",898401
"2021.05","티웨이항공",980032
"2021.05","외항사",77477
"2021.06","아시아나항공",903400
"2021.06","제주항공",1247122
"2021.06","진에어",1041725
"2021.06","대한항공",988677
"2021.06","티웨이항공",946192
"2021.06","외항사",99727
"2021.07","아시아나항공",865232
"2021.07","제주항공",1193025
"2021.07","진에어",1056585
"2021.07","대한항공",969796
"2021.07","티웨이항공",945355
"2021.07","외항사",123457
"2021.08","아시아나항공",780597
"2021.08","제주항공",1012678
"2021.08","진에어",953238
"2021.08","대한항공",977725
"2021.08","티웨이항공",822887
"2021.08","외항사",149766
"2021.09","아시아나항공",724179
"2021.09","제주항공",988836
"2021.09","진에어",863406
"2021.09","대한항공",884135
"2021.09","티웨이항공",777516
"2021.09","외항사",127989
"2021.10","아시아나항공",952065
"2021.10","제주항공",1246369
"2021.10","진에어",1148859
"2021.10","대한항공",1121590
"2021.10","티웨이항공",995552
"2021.10","외항사",143435
"2021.11","아시아나항공",1000126
"2021.11","제주항공",1215898
"2021.11","진에어",1158752
"2021.11","대한항공",1143738
"2021.11","티웨이항공",975077
"2021.11","외항사",176678
"2021.12","아시아나항공",873573
"2021.12","제주항공",1158294
"2021.12","진에어",974845
"2021.12","대한항공",1062537
"2021.12","티웨이항공",923796
"2021.12","외항사",189506
"2022.01","아시아나항공",863750
"2022.01","제주항공",1224209
"2022.01","진에어",1072162
"2022.01","대한항공",1106217
"2022.01","티웨이항공",978416
"2022.01","외항사",168442
"2022.02","아시아나항공",823165
"2022.02","제주항공",1140800
"2022.02","진에어",1002006
"2022.02","대한항공",979150
"2022.02","티웨이항공",858504
"2022.02","외항사",143040
"2022.03","아시아나항공",746513
"2022.03","제주항공",1001513
"2022.03","진에어",729722
"2022.03","대한항공",882656
"2022.03","티웨이항공",730858
"2022.03","외항사",168166
"2022.04","아시아나항공",1025164
"2022.04","제주항공",1150114
"2022.04","진에어",1068700
"2022.04","대한항공",1322413
"2022.04","티웨이항공",905846
"2022.04","외항사",261897
"2022.05","아시아나항공",1169483
"2022.05","제주항공",1264996
"2022.05","진에어",1233780
"2022.05","대한항공",1513060
"2022.05","티웨이항공",952507
"2022.05","외항사",391934
"2022.06","아시아나항공",1182624
"2022.06","제주항공",1188648
"2022.06","진에어",1232374
"2022.06","대한항공",1573298
"2022.06","티웨이항공",952522
"2022.06","외항사",539085
"2022.07","아시아나항공",1188787
"2022.07","제주항공",1206996
"2022.07","진에어",1170427
"2022.07","대한항공",1665317
"2022.07","티웨이항공",923206
"2022.07","외항사",698701
"2022.08","아시아나항공",1263657
"2022.08","제주항공",1310873
"2022.08","진에어",1196998
"2022.08","대한항공",1684957
"2022.08","티웨이항공",912745
"2022.08","외항사",763745
"2022.09","아시아나항공",1132900
"2022.09","제주항공",1092298
"2022.09","진에어",1072312
"2022.09","대한항공",1540669
"2022.09","티웨이항공",904677
"2022.09","외항사",712834
